"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","压力测试","294","0","[Rush] 注册新账号","0"
"0","","0","压力测试","1514","0","[Daily] 查看帖子列表","0"
"0","","0","压力测试","1371","0","[Daily] 发布新帖子","0"
"0","","0","压力测试","83","0","[Daily] 预热账号登出","0"
"0","","0","发帖业务模块","1","0","动态链路：从注册到发帖的全生命周期","0"
"0","","0","压力测试","287","0","[Rush] 立即登录","0"
"0","论坛系统测试","0","用户认证模块","13","0","异常校验：DDT","0"
"0","","0","压力测试","83","0","[Daily] 预热账号登录","0"
"0","论坛系统测试","0","用户认证模块","1","0","正向链路：注册、登录和Token提取","0"
"0","","0","发帖业务模块","3","0","异常用例测试","0"
"0","","0","用户模块","1","0","用户注册","0"
"0","论坛系统测试","0","用户认证模块","4","0","登出功能正负向测试","0"
"0","","0","用户模块","1","0","用户发帖","0"
"0","论坛核心业务链路验证","0","多用户社交互动链路","1","0","A发帖_B点赞_取消点赞_状态强一致性链路","0"
